FIPS Code,Year,hs_degree_or_more,no_hs_degree
2180,1970,713.0,1625.0
2180,1980,1665.0,1393.0
2180,1990,2827.0,1524.0
2180,2000,3677.0,1239.0
2180,2010,4336.0,849.0
2180,2017,4909.0,655.0
2185,1970,197.0,836.0
2185,1980,1167.0,901.0
2185,1990,2180.0,1003.0
2185,2000,3006.0,877.0
2185,2010,5047.0,864.0
2185,2017,6892.0,709.0
2188,1970,392.0,1220.0
2188,1980,1002.0,1075.0
2188,1990,1815.0,1029.0
2188,2000,2520.0,978.0
2188,2010,3102.0,795.0
2188,2017,3640.0,590.0
2195,2010,2576.0,128.0
2195,2017,2206.0,331.0
2198,2010,3412.0,336.0
2198,2017,3838.0,313.0
2201,1970,1012.0,882.0
2201,1980,1355.0,606.0
2201,1990,2886.0,840.0
2201,2000,3192.0,605.0
2220,1970,2034.0,1149.0
2220,1980,3348.0,778.0
2220,1990,4547.0,678.0
2220,2000,5081.0,527.0
2220,2010,5518.0,522.0
2220,2017,5781.0,290.0
2230,2010,741.0,42.0
2230,2017,899.0,71.0
2231,1970,619.0,603.0
2231,1980,1328.0,545.0
2231,1990,2105.0,550.0
2232,2000,1918.0,355.0
2240,1970,1051.0,621.0
2240,1980,2211.0,566.0
2240,1990,2832.0,466.0
2240,2000,3206.0,487.0
2240,2010,4110.0,369.0
2240,2017,4250.0,284.0
2250,1970,341.0,533.0
2261,1970,1544.0,1079.0
2261,1980,3764.0,923.0
2261,1990,5269.0,1013.0
2261,2000,5703.0,738.0
2261,2010,5812.0,649.0
2275,2010,1607.0,160.0
2275,2017,1358.0,201.0
2280,1970,1341.0,1132.0
2280,1980,2641.0,784.0
2280,1990,3532.0,827.0
2280,2000,3741.0,618.0
2282,2000,440.0,82.0
2282,2010,401.0,29.0
2282,2017,373.0,24.0
2290,1970,1123.0,1046.0
2290,1980,2687.0,1328.0
2290,1990,3588.0,1313.0
2290,2000,2755.0,952.0
2290,2010,2868.0,681.0
2290,2017,3003.0,448.0
4000,1970,531864.0,383873.0
4000,1980,1127917.0,430974.0
4000,1990,1810097.0,491080.0
4000,2000,2636637.0,619547.0
4000,2010,3545819.0,604136.0
4000,2017,4327527.0,551432.0
4001,1970,4251.0,8255.0
4001,1980,10981.0,11294.0
4001,1990,16211.0,13449.0
4001,2000,23051.0,13166.0
4001,2010,30898.0,10646.0
4001,2017,35469.0,6751.0
4003,1970,16783.0,13262.0
4003,1980,33091.0,15005.0
4003,1990,46354.0,14876.0
4003,2000,60211.0,15563.0
4003,2010,75751.0,13054.0
4003,2017,78431.0,9780.0
