Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
49750 Seminole Dr Cabazon CA 92230                 ,33.9207656,-116.7941795,"['06071', '06065']",Morongo Band of Mission Indians                                                       ,Class II (See 25 CFR 502.3 & 4)       ,9,       20 ,           30000 ,               ,1.030368764,   3400000,CA,Morongo Canyon Lanes
11154 CA-76 Pala CA 92059                          ,33.363134,-117.0847304,"['06073', '06065']",Pala Band of Luiseno Mission Indians of the Pala Reservation                          ,Class II & III (See 25 CFR 502.3 & 4) ,2250,     2001 ,           86000 ,               ,25.0, 105000000,CA,Pala Casino Resort and Spa
2657 Everett Freeman Way Corning CA 96021          ,39.8708946,-122.2114949,"['06021', '06103', '06007']",Paskenta Band of Nomlaki Indians                                                      ,Class II (See 25 CFR 502.3 & 4)       ,12,          ,                 ,               ,9.3,          ,CA,The Convenience Store
2645 Everett Freeman Way Corning CA 96021          ,39.87330405,-122.2029448,"['06021', '06103', '06007']",Paskenta Band of Nomlaki Indians                                                      ,Class III (See 25 CFR 502.3 & 4)      ,850,     2002 ,           60000 ,          2019 ,102.5,          ,CA,Rolling Hills Casino
777 Pauma Reservation Rd Pauma Valley CA 92061     ,33.3301243,-116.9912136,"['06073', '06065']",Pauma Band of Luiseno Mission Indians of the Pauma - Yuima Reservation                ,Class II & III (See 25 CFR 502.3 & 4) ,1050,     2001 ,           35000 ,          2018 ,20.0, 300000000,CA,Casino Pauma
45000 Pechanga Pkwy Temecula CA 92592              ,33.4555399,-117.1067578,"['06059', '06073', '06065']",Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation                  ,Class II & III (See 25 CFR 502.3 & 4) ,5400,     2002 ,          200000 ,          2018 ,370.0, 562000000,CA,Pechanga Resort and Casino
27694 CA-41 Coarsegold CA 93614                    ,37.2395642,-119.7073672,"['06019', '06047', '06039', '06043']",Picayune Rancheria of Chukchansi Indians                                              ,Class II & III (See 25 CFR 502.3 & 4) ,1800,     2003 ,           56000 ,               ,43.7, 150000000,CA,Chukchansi Gold Resort and Casino
20265 Tamarack Ave Burney CA 96013                 ,40.87628,-121.675274,"['06093', '06089', '06035', '06103', '06049']",Pit River Tribe                                                                       ,Class III (See 25 CFR 502.3 & 4)      ,150,     2005 ,            9000 ,               ,2.5,          ,CA,Pit River Casino
525 Algodones Rd Winterhaven CA 92283              ,32.74160575,-114.7226592,"['06025', '04027', '04012']",Quechan Indian Tribe                                                                  ,Class II & III (See 25 CFR 502.3 & 4) ,900,     2009 ,           20000 ,               ,1.4, 200000000,CA,Quechan Casino Resort
450 Quechan Dr Yuma AZ 85364                       ,32.7342952,-114.6131412,"['06025', '04027', '04012']",Quechan Indian Tribe                                                                  ,Class II & III (See 25 CFR 502.3 & 4) ,500,     1996 ,           11000 ,          2011 ,1.4,  13000000,AZ,Quechan Paradise Casino
