Address                                                               ,latitude,longitude,fips_codes
Exit 108 167 Casa Blanca Rd I-40 Paraje NM 87007                      ,,,
30 Buffalo Thunder Trail Santa Fe NM 87506                            ,35.861443699999995,-105.99653891539467,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']"
10 Cities of Gold Rd Santa Fe NM 87506                                ,35.8910839,-106.0201726,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']"
25 Hagen Rd Algodones NM 87001                                        ,35.4163951,-106.4021018,"['35057', '35001', '35028', '35049', '35043']"
30 Rainbow Rd Albuquerque NM 87113                                    ,35.20707625,-106.56697092120322,"['35057', '35061', '35001', '35049', '35043']"
54 Jemez Canyon Dam Rd Bernalillo NM 87004                            ,,,
460 N Riverside Dr Española NM 87532                                  ,36.0201479,-106.0642059,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']"
700 Veterans Hwy Taos NM 87571                                        ,36.4278054,-105.5621761,"['35007', '35039', '35055', '35033']"
7 Tesuque Rd Santa Fe NM 87506                                        ,35.768906400000006,-105.94577649896016,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']"
10000 Aha Macav Pkwy Laughlin NV 89029                                ,35.0596543,-114.6491173,"['32003', '04015', '06071']"
Valley of Fire Highway and I-15 I-15 Moapa NV 89025                   ,,,
1 Lincoln St Moapa NV 89025                                           ,,,
1003 U.S. Hwy 395 N Gardnerville NV 89410                             ,,,
2552 NY-89 Seneca Falls NY 13148                                      ,42.90201176177428,-76.7548293482036,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109']"
271 Cayuga St Union Springs NY 13160                                  ,42.853649000000004,-76.691425796875,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109', '36023']"
State Route 891 Seneca Fall NY.                                       ,,,
126 E Bayard St. Seneca Falls NY 13148                                ,42.911175650000004,-76.78195740589294,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109']"
450 452 NY-31 Bridgeport NY 13030                                     ,43.1544035,-75.9729599,"['36053', '36065', '36075', '36067', '36049', '36023']"
5218 Patrick Rd Verona NY 13478                                       ,43.1146225,-75.5884599,"['36043', '36053', '36065', '36077', '36075', '36017', '36067', '36049']"
800 W Genesee St Chittenango NY 13037                                 ,43.0448887,-75.8815371,"['36053', '36065', '36075', '36017', '36067', '36023']"
873 NY-37 Hogansburg NY 13655                                         ,44.971914141414146,-74.66153087373738,"['36033', '36089']"
5374 W Shore Rd Cuba NY 14727                                         ,42.260028,-78.299714,"['36029', '36009', '42083', '42105', '36121', '36051', '36003']"
1 Fulton St Buffalo NY 14204                                          ,42.873675750000004,-78.87024162898967,"['36013', '36029', '36009', '36121', '36037', '36063']"
768 Broad St Salamanca NY 14779                                       ,42.1598363,-78.7449136,"['36013', '36029', '36009', '42083', '42123']"
11099 Erie Rd Irving NY 14081                                         ,,,
310 4th St Niagara Falls NY 14303                                     ,43.0855629040914,-79.05785014646857,"['36029', '36063']"
777 Seneca Allegany Blvd Salamanca NY 14779                           ,42.15189204345936,-78.74387559241333,"['36013', '36029', '36009', '42083', '42123']"
2051 S Gordon Cooper Dr Shawnee OK 74801                              ,,,
